,head,neck,left_ear,right_ear,left_shoulder,left_elbow,left_hand,right_shoulder,right_elbow,right_hand,head,neck,left_ear,right_ear,left_shoulder,left_elbow,left_hand,right_shoulder,right_elbow,right_hand
37,0.149,0.152,0.126,0.18,0.112,0.113,0.147,0.22,0.0,0.0,0.532,0.612,0.553,0.563,0.595,0.539,0.485,0.592,0.0,0.0
38,0.149,0.153,0.126,0.18,0.111,0.113,0.146,0.221,0.0,0.0,0.53,0.612,0.555,0.56,0.596,0.54,0.486,0.593,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523,0.0
45,0.149,0.153,0.126,0.18,0.111,0.113,0.147,0.221,0.0,0.0,0.53,0.612,0.553,0.561,0.596,0.54,0.485,0.593,0.0,0.0
46,0.149,0.153,0.126,0.18,0.111,0.113,0.147,0.221,0.0,0.0,0.531,0.612,0.554,0.56,0.597,0.54,0.486,0.593,0.0,0.0
47,0.149,0.153,0.126,0.18,0.111,0.113,0.147,0.221,0.0,0.0,0.531,0.612,0.554,0.56,0.596,0.54,0.486,0.593,0.0,0.0
48,0.149,0.153,0.126,0.18,0.111,0.113,0.147,0.221,0.0,0.0,0.531,0.612,0.554,0.56,0.597,0.54,0.486,0.593,0.0,0.0
49,0.149,0.153,0.126,0.18,0.111,0.113,0.147,0.221,0.0,0.0,0.531,0.612,0.554,0.56,0.597,0.54,0.486,0.593,0.0,0.0
50,0.149,0.153,0.126,0.18,0.111,0.113,0.146,0.221,0.0,0.0,0.531,0.612,0.554,0.56,0.597,0.54,0.486,0.593,0.0,0.0
51,0.149,0.153,0.126,0.18,0.111,0.113,0.147,0.221,0.0,0.0,0.532,0.612,0.554,0.56,0.597,0.54,0.485,0.593,0.0,0.0
52,0.149,0.153,0.126,0.18,0.111,0.113,0.147,0.222,0.0,0.0,0.532,0.612,0.554,0.56,0.597,0.54,0.486,0.593,0.0,0.0
53,0.149,0.152,0.126,0.18,0.111,0.113,0.146,0.222,0.0,0.0,0.532,0.612,0.554,0.56,0.597,0.539,0.486,0.593,0.0,0.0
54,0.149,0.152,0.126,0.18,0.111,0.113,0.147,0.222,0.0,0.0,0.532,0.611,0.554,0.56,0.597,0.539,0.486,0.593,0.0,0.0
55,0.149,0.15,0.126,0.181,0.111,0.112,0.147,0.223,0.0,0.0,0.535,0.609,0.552,0.563,0.595,0.536,0.49,0.591,0.0,0.0
56,0.149,0.15,0.126,0.181,0.111,0.112,0.147,0.223,0.0,0.0,0.535,0.609,0.551,0.563,0.595,0.536,0.49,0.591,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.0
