Frame 0, Person 0:
  Keypoint 8: (x=793.73, y=489.62, confidence=1.00)
  Keypoint 9: (x=813.76, y=388.80, confidence=1.00)
Frame 3, Person 1:
  Keypoint 0: (x=299.14, y=482.73, confidence=1.00)
  Keypoint 1: (x=300.09, y=571.34, confidence=1.00)
  Keypoint 2: (x=260.62, y=542.12, confidence=1.00)
  Keypoint 3: (x=346.06, y=533.22, confidence=1.00)
  Keypoint 4: (x=240.78, y=540.57, confidence=1.00)
  Keypoint 5: (x=238.53, y=485.23, confidence=1.00)
  Keypoint 6: (x=309.19, y=455.95, confidence=1.00)
  Keypoint 7: (x=383.63, y=556.79, confidence=1.00)
  Keypoint 8: (x=431.58, y=505.50, confidence=1.00)
  Keypoint 9: (x=377.19, y=480.13, confidence=0.97)
Frame 3, Person 2:
  Keypoint 0: (x=1069.14, y=459.27, confidence=1.00)
  Keypoint 1: (x=1061.82, y=560.86, confidence=1.00)
  Keypoint 2: (x=1023.78, y=511.56, confidence=1.00)
  Keypoint 3: (x=1109.56, y=513.07, confidence=1.00)
  Keypoint 4: (x=961.29, y=533.40, confidence=1.00)
  Keypoint 5: (x=890.32, y=525.53, confidence=1.00)
  Keypoint 6: (x=955.98, y=440.12, confidence=1.00)
  Keypoint 7: (x=1116.19, y=531.94, confidence=0.99)
  Keypoint 8: (x=1121.29, y=493.04, confidence=0.97)
  Keypoint 9: (x=1102.09, y=447.42, confidence=0.99)
Frame 4, Person 0:
  Keypoint 0: (x=674.52, y=465.60, confidence=1.00)
  Keypoint 1: (x=654.28, y=559.57, confidence=1.00)
  Keypoint 2: (x=616.68, y=511.99, confidence=1.00)
  Keypoint 3: (x=702.81, y=532.93, confidence=1.00)
  Keypoint 4: (x=583.94, y=537.45, confidence=1.00)
  Keypoint 5: (x=560.81, y=494.11, confidence=1.00)
  Keypoint 6: (x=601.99, y=419.02, confidence=1.00)
  Keypoint 7: (x=731.41, y=552.99, confidence=1.00)
  Keypoint 8: (x=793.74, y=489.60, confidence=1.00)
  Keypoint 9: (x=813.76, y=388.74, confidence=1.00)
Frame 4, Person 1:
  Keypoint 0: (x=299.14, y=482.71, confidence=1.00)
  Keypoint 1: (x=300.09, y=571.33, confidence=1.00)
  Keypoint 2: (x=260.62, y=542.11, confidence=1.00)
  Keypoint 3: (x=346.06, y=533.21, confidence=1.00)
  Keypoint 4: (x=240.79, y=540.59, confidence=1.00)
  Keypoint 5: (x=238.53, y=485.24, confidence=1.00)
  Keypoint 6: (x=309.17, y=455.94, confidence=1.00)
  Keypoint 7: (x=383.64, y=556.80, confidence=1.00)
  Keypoint 8: (x=431.59, y=505.48, confidence=1.00)
  Keypoint 9: (x=377.16, y=480.12, confidence=0.97)
Frame 4, Person 2:
  Keypoint 0: (x=1069.16, y=459.26, confidence=1.00)
  Keypoint 1: (x=1061.83, y=560.85, confidence=1.00)
  Keypoint 2: (x=1023.80, y=511.56, confidence=1.00)
  Keypoint 3: (x=1109.57, y=513.06, confidence=1.00)
  Keypoint 4: (x=961.28, y=533.43, confidence=1.00)
  Keypoint 5: (x=890.30, y=525.57, confidence=1.00)
  Keypoint 6: (x=955.95, y=440.14, confidence=1.00)
  Keypoint 7: (x=1116.18, y=531.92, confidence=0.99)
  Keypoint 8: (x=1121.28, y=493.11, confidence=0.97)
  Keypoint 9: (x=1102.08, y=447.37, confidence=0.99)
Frame 5, Person 0:
  Keypoint 0: (x=674.42, y=465.64, confidence=1.00)
  Keypoint 1: (x=654.23, y=559.61, confidence=1.00)
  Keypoint 2: (x=616.62, y=512.03, confidence=1.00)
  Keypoint 3: (x=702.76, y=532.94, confidence=1.00)
  Keypoint 4: (x=583.90, y=537.47, confidence=1.00)
  Keypoint 5: (x=560.80, y=494.04, confidence=1.00)
  Keypoint 6: (x=601.90, y=419.01, confidence=1.00)
  Keypoint 7: (x=731.27, y=553.03, confidence=1.00)
  Keypoint 8: (x=793.74, y=489.67, confidence=1.00)
  Keypoint 9: (x=813.76, y=388.89, confidence=1.00)
Frame 5, Person 1:
  Keypoint 0: (x=299.13, y=482.75, confidence=1.00)
  Keypoint 1: (x=299.99, y=571.33, confidence=1.00)
  Keypoint 2: (x=260.59, y=542.18, confidence=1.00)
  Keypoint 3: (x=346.05, y=533.26, confidence=1.00)
  Keypoint 4: (x=240.79, y=540.58, confidence=1.00)
  Keypoint 5: (x=238.56, y=485.23, confidence=1.00)
  Keypoint 6: (x=309.08, y=455.97, confidence=1.00)
  Keypoint 7: (x=383.47, y=556.91, confidence=1.00)
  Keypoint 8: (x=431.57, y=505.49, confidence=1.00)
  Keypoint 9: (x=377.22, y=480.18, confidence=0.97)
Frame 5, Person 2:
  Keypoint 0: (x=1069.09, y=459.12, confidence=1.00)
  Keypoint 1: (x=1061.77, y=560.75, confidence=1.00)
  Keypoint 2: (x=1023.69, y=511.47, confidence=1.00)
  Keypoint 3: (x=1109.52, y=512.97, confidence=1.00)
  Keypoint 4: (x=961.21, y=533.44, confidence=1.00)
  Keypoint 5: (x=890.31, y=525.51, confidence=1.00)
  Keypoint 6: (x=955.90, y=439.67, confidence=1.00)
  Keypoint 7: (x=1116.10, y=531.79, confidence=0.99)
  Keypoint 8: (x=1121.25, y=492.38, confidence=0.97)
  Keypoint 9: (x=1101.96, y=447.33, confidence=0.99)
Frame 6, Person 0:
  Keypoint 0: (x=669.55, y=464.57, confidence=1.00)
  Keypoint 1: (x=649.83, y=558.61, confidence=1.00)
  Keypoint 2: (x=612.59, y=511.04, confidence=1.00)
  Keypoint 3: (x=698.08, y=532.25, confidence=1.00)
  Keypoint 4: (x=581.43, y=536.66, confidence=1.00)
  Keypoint 5: (x=559.71, y=494.39, confidence=1.00)
  Keypoint 6: (x=599.93, y=421.21, confidence=1.00)
  Keypoint 7: (x=727.72, y=554.19, confidence=1.00)
  Keypoint 8: (x=793.62, y=489.13, confidence=1.00)
  Keypoint 9: (x=813.29, y=389.20, confidence=1.00)
Frame 6, Person 1:
  Keypoint 0: (x=302.35, y=483.87, confidence=1.00)
  Keypoint 1: (x=304.06, y=571.84, confidence=1.00)
  Keypoint 2: (x=262.64, y=540.04, confidence=1.00)
  Keypoint 3: (x=347.11, y=533.43, confidence=1.00)
  Keypoint 4: (x=243.24, y=543.54, confidence=1.00)
  Keypoint 5: (x=237.63, y=488.96, confidence=1.00)
  Keypoint 6: (x=303.12, y=454.70, confidence=1.00)
  Keypoint 7: (x=387.65, y=551.00, confidence=1.00)
  Keypoint 8: (x=431.59, y=499.32, confidence=1.00)
  Keypoint 9: (x=373.31, y=478.24, confidence=0.99)
Frame 6, Person 2:
  Keypoint 0: (x=1068.96, y=459.18, confidence=1.00)
  Keypoint 1: (x=1061.69, y=560.73, confidence=1.00)
  Keypoint 2: (x=1023.91, y=511.27, confidence=1.00)
  Keypoint 3: (x=1109.13, y=513.12, confidence=1.00)
  Keypoint 4: (x=961.35, y=533.63, confidence=1.00)
  Keypoint 5: (x=890.90, y=525.28, confidence=1.00)
  Keypoint 6: (x=955.81, y=440.34, confidence=1.00)
  Keypoint 7: (x=1115.93, y=532.01, confidence=0.99)
  Keypoint 8: (x=1121.39, y=493.76, confidence=0.97)
  Keypoint 9: (x=1101.58, y=447.53, confidence=0.99)
Frame 7, Person 0:
  Keypoint 0: (x=669.54, y=464.49, confidence=1.00)
  Keypoint 1: (x=649.89, y=558.59, confidence=1.00)
  Keypoint 2: (x=612.55, y=511.05, confidence=1.00)
  Keypoint 3: (x=698.09, y=532.16, confidence=1.00)
  Keypoint 4: (x=581.44, y=536.73, confidence=1.00)
  Keypoint 5: (x=559.71, y=494.36, confidence=1.00)
  Keypoint 6: (x=599.96, y=421.06, confidence=1.00)
  Keypoint 7: (x=727.92, y=554.06, confidence=1.00)
  Keypoint 8: (x=793.71, y=489.14, confidence=1.00)
  Keypoint 9: (x=813.20, y=389.19, confidence=1.00)
Frame 7, Person 1:
  Keypoint 0: (x=302.36, y=483.86, confidence=1.00)
  Keypoint 1: (x=304.07, y=571.88, confidence=1.00)
  Keypoint 2: (x=262.59, y=540.04, confidence=1.00)
  Keypoint 3: (x=347.10, y=533.49, confidence=1.00)
  Keypoint 4: (x=243.23, y=543.54, confidence=1.00)
  Keypoint 5: (x=237.61, y=488.96, confidence=1.00)
  Keypoint 6: (x=303.12, y=454.74, confidence=1.00)
  Keypoint 7: (x=387.76, y=550.94, confidence=1.00)
  Keypoint 8: (x=431.59, y=499.32, confidence=1.00)
  Keypoint 9: (x=373.25, y=478.16, confidence=0.99)
Frame 7, Person 2:
  Keypoint 0: (x=1068.98, y=459.10, confidence=1.00)
  Keypoint 1: (x=1061.73, y=560.80, confidence=1.00)
  Keypoint 2: (x=1023.88, y=511.25, confidence=1.00)
  Keypoint 3: (x=1109.27, y=512.96, confidence=1.00)
  Keypoint 4: (x=961.22, y=533.60, confidence=1.00)
  Keypoint 5: (x=890.69, y=525.20, confidence=1.00)
  Keypoint 6: (x=955.60, y=440.17, confidence=1.00)
  Keypoint 7: (x=1115.98, y=531.93, confidence=0.99)
  Keypoint 8: (x=1121.34, y=492.83, confidence=0.97)
  Keypoint 9: (x=1101.58, y=447.03, confidence=0.99)
Frame 8, Person 0:
  Keypoint 0: (x=669.53, y=464.57, confidence=1.00)
  Keypoint 1: (x=649.82, y=558.61, confidence=1.00)
  Keypoint 2: (x=612.58, y=511.04, confidence=1.00)
  Keypoint 3: (x=698.07, y=532.23, confidence=1.00)
  Keypoint 4: (x=581.42, y=536.68, confidence=1.00)
