Frame 0, Person 0:
  Keypoint 7: (x=959.77, y=391.75, confidence=0.98)
  Keypoint 8: (x=963.77, y=304.66, confidence=0.98)
  Keypoint 9: (x=821.48, y=313.26, confidence=1.00)
Frame 2, Person 2:
  Keypoint 0: (x=589.38, y=274.07, confidence=1.00)
  Keypoint 1: (x=555.91, y=332.14, confidence=1.00)
  Keypoint 2: (x=635.66, y=319.76, confidence=1.00)
  Keypoint 3: (x=593.33, y=372.43, confidence=1.00)
  Keypoint 4: (x=654.75, y=381.52, confidence=1.00)
  Keypoint 5: (x=514.97, y=381.61, confidence=1.00)
  Keypoint 6: (x=436.67, y=389.72, confidence=1.00)
  Keypoint 7: (x=708.22, y=360.81, confidence=0.99)
  Keypoint 8: (x=677.25, y=275.26, confidence=0.99)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
Frame 2, Person 3:
  Keypoint 0: (x=1231.33, y=242.86, confidence=0.98)
  Keypoint 1: (x=1185.01, y=282.50, confidence=0.98)
  Keypoint 2: (x=1262.58, y=293.78, confidence=0.97)
  Keypoint 3: (x=1222.07, y=326.89, confidence=0.96)
  Keypoint 4: (x=1250.86, y=339.71, confidence=0.97)
  Keypoint 5: (x=1127.81, y=322.80, confidence=0.96)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.01)
  Keypoint 7: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 8: (x=0.00, y=0.00, confidence=0.09)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
Frame 3, Person 0:
  Keypoint 0: (x=178.15, y=273.48, confidence=1.00)
  Keypoint 1: (x=150.83, y=333.83, confidence=1.00)
  Keypoint 2: (x=225.42, y=319.50, confidence=1.00)
  Keypoint 3: (x=192.45, y=370.47, confidence=1.00)
  Keypoint 4: (x=266.57, y=377.47, confidence=1.00)
  Keypoint 5: (x=145.11, y=381.72, confidence=1.00)
  Keypoint 6: (x=113.46, y=471.49, confidence=1.00)
  Keypoint 7: (x=333.95, y=428.52, confidence=0.99)
  Keypoint 8: (x=330.46, y=311.74, confidence=0.99)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.02)
Frame 3, Person 1:
  Keypoint 0: (x=884.42, y=265.34, confidence=1.00)
  Keypoint 1: (x=843.77, y=320.16, confidence=1.00)
  Keypoint 2: (x=925.42, y=324.80, confidence=1.00)
  Keypoint 3: (x=882.52, y=360.68, confidence=1.00)
  Keypoint 4: (x=928.58, y=365.35, confidence=0.99)
  Keypoint 5: (x=811.76, y=362.03, confidence=1.00)
  Keypoint 6: (x=767.27, y=370.40, confidence=0.98)
  Keypoint 7: (x=959.77, y=391.75, confidence=0.98)
  Keypoint 8: (x=963.77, y=304.66, confidence=0.98)
  Keypoint 9: (x=821.48, y=313.26, confidence=1.00)
Frame 3, Person 2:
  Keypoint 0: (x=589.38, y=274.07, confidence=1.00)
  Keypoint 1: (x=555.91, y=332.14, confidence=1.00)
  Keypoint 2: (x=635.66, y=319.76, confidence=1.00)
  Keypoint 3: (x=593.33, y=372.43, confidence=1.00)
  Keypoint 4: (x=654.75, y=381.52, confidence=1.00)
  Keypoint 5: (x=514.97, y=381.61, confidence=1.00)
  Keypoint 6: (x=436.67, y=389.72, confidence=1.00)
  Keypoint 7: (x=708.22, y=360.81, confidence=0.99)
  Keypoint 8: (x=677.25, y=275.26, confidence=0.99)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
