Frame,Person1_head,Person1_neck,Person1_left_ear,Person1_right_ear,Person1_left_shoulder,Person1_left_elbow,Person1_left_hand,Person1_right_shoulder,Person1_right_elbow,Person1_right_hand,Person2_head,Person2_neck,Person2_left_ear,Person2_right_ear,Person2_left_shoulder,Person2_left_elbow,Person2_left_hand,Person2_right_shoulder,Person2_right_elbow,Person2_right_hand,Person3_head,Person3_neck,Person3_left_ear,Person3_right_ear,Person3_left_shoulder,Person3_left_elbow,Person3_left_hand,Person3_right_shoulder,Person3_right_elbow,Person3_right_hand,Person4_head,Person4_neck,Person4_left_ear,Person4_right_ear,Person4_left_shoulder,Person4_left_elbow,Person4_left_hand,Person4_right_shoulder,Person4_right_elbow,Person4_right_hand
126,"(222.50,375.18,1.00)","(233.40,433.95,0.99)","(193.49,399.61,1.00)","(261.96,385.95,1.00)","(170.06,431.64,0.96)","(177.01,389.66,0.64)","(213.93,340.59,0.90)","(296.75,440.68,0.98)","(314.56,406.18,0.97)","(267.55,349.98,0.99)","(566.08,214.71,1.00)","(573.41,297.34,1.00)","(524.19,248.69,1.00)","(609.29,238.44,1.00)","(486.30,307.70,1.00)","(425.34,320.27,1.00)","(431.36,248.33,0.98)","(636.59,306.12,1.00)","(698.87,326.92,1.00)","(681.59,231.87,1.00)","(897.41,302.09,1.00)","(882.66,362.07,1.00)","(861.51,307.11,1.00)","(928.60,326.71,1.00)","(827.37,372.96,1.00)","(801.44,299.88,0.99)","(848.49,283.52,0.59)","(955.37,383.00,0.99)","(993.87,346.26,1.00)","(985.42,275.40,1.00)","(1225.09,308.20,1.00)","(1216.44,365.66,1.00)","(1183.96,331.28,1.00)","(1248.86,322.46,1.00)","(1151.32,362.48,1.00)","(1107.73,335.03,1.00)","(1151.01,296.50,0.70)","(1255.30,349.31,0.99)","(1253.72,313.63,0.98)","(1242.85,257.86,1.00)"
127,"(227.17,373.73,1.00)","(240.70,435.54,1.00)","(195.33,400.60,1.00)","(268.66,379.95,1.00)","(176.65,437.60,1.00)","(176.02,391.04,0.79)","(203.29,331.09,0.54)","(310.02,422.54,0.99)","(298.36,347.50,0.98)","(240.20,291.45,0.99)","(565.32,213.79,1.00)","(576.40,299.66,1.00)","(525.20,252.50,1.00)","(609.28,237.53,1.00)","(493.04,303.76,1.00)","(428.28,320.09,1.00)","(432.78,248.23,0.99)","(635.00,305.13,1.00)","(698.14,328.63,1.00)","(684.43,235.46,1.00)","(897.64,302.05,1.00)","(876.77,362.99,1.00)","(863.52,303.09,1.00)","(927.20,331.63,1.00)","(824.13,367.96,1.00)","(800.70,298.71,0.99)","(0.00,0.00,0.29)","(952.77,382.27,0.99)","(994.59,348.28,1.00)","(983.78,274.73,1.00)","(1225.29,307.14,1.00)","(1218.17,365.32,1.00)","(1184.27,329.75,1.00)","(1248.65,325.21,1.00)","(1148.91,358.26,1.00)","(1105.58,336.09,1.00)","(1151.41,299.92,0.97)","(1256.00,352.24,0.99)","(1255.04,316.24,0.97)","(1247.73,259.34,1.00)"
128,"(227.86,377.05,1.00)","(244.00,433.61,1.00)","(198.14,402.89,1.00)","(267.43,376.93,1.00)","(178.69,439.43,0.99)","(176.79,392.00,0.65)","(205.26,333.24,0.54)","(311.73,424.88,0.99)","(298.38,349.92,0.97)","(237.09,293.64,0.99)","(565.42,215.18,1.00)","(574.01,298.60,1.00)","(524.64,250.47,1.00)","(608.48,238.18,1.00)","(488.79,306.18,1.00)","(427.21,319.28,1.00)","(430.79,249.90,0.98)","(635.14,305.89,1.00)","(697.68,327.99,1.00)","(684.29,234.30,1.00)","(897.02,301.05,1.00)","(878.50,362.04,1.00)","(862.80,303.47,1.00)","(927.62,328.88,1.00)","(825.32,371.86,1.00)","(802.11,300.05,0.98)","(0.00,0.00,0.25)","(953.81,382.12,0.99)","(994.47,347.03,1.00)","(986.39,275.18,1.00)","(1225.59,308.87,1.00)","(1218.68,363.94,1.00)","(1184.77,330.48,1.00)","(1248.24,323.28,1.00)","(1148.99,361.20,1.00)","(1106.49,333.72,1.00)","(1152.94,298.62,0.94)","(1256.53,351.15,0.99)","(1254.18,314.58,0.97)","(1246.95,259.00,1.00)"
129,"(228.02,376.67,1.00)","(243.59,433.85,1.00)","(197.99,402.54,1.00)","(267.70,377.53,1.00)","(178.56,439.27,0.99)","(176.58,392.05,0.67)","(204.68,333.48,0.55)","(311.61,424.77,0.99)","(298.10,349.88,0.97)","(237.21,293.31,0.99)","(565.80,214.50,1.00)","(573.77,298.91,1.00)","(524.77,250.82,1.00)","(608.68,238.72,1.00)","(489.08,305.99,1.00)","(427.34,319.23,1.00)","(430.30,249.20,0.99)","(634.51,305.62,1.00)","(697.31,327.83,1.00)","(683.71,234.38,1.00)","(897.02,300.90,1.00)","(879.03,362.58,1.00)","(862.73,304.12,1.00)","(927.65,329.15,1.00)","(826.14,371.64,1.00)","(802.61,300.46,0.98)","(0.00,0.00,0.22)","(953.47,381.75,0.99)","(994.29,347.74,1.00)","(986.20,275.11,1.00)","(1225.86,308.26,1.00)","(1218.19,364.48,1.00)","(1184.78,330.77,1.00)","(1248.54,323.45,1.00)","(1149.61,360.78,1.00)","(1106.83,334.18,1.00)","(1152.20,298.07,0.93)","(1256.36,351.37,0.99)","(1254.49,315.31,0.97)","(1247.10,259.10,1.00)"
130,"(231.41,376.86,1.00)","(243.59,434.36,1.00)","(195.12,402.20,0.99)","(267.48,378.78,1.00)","(175.20,439.19,0.96)","(0.00,0.00,0.36)","(0.00,0.00,0.47)","(306.04,421.45,0.99)","(290.58,349.14,0.99)","(229.05,276.70,0.98)","(566.06,215.93,1.00)","(573.89,298.57,1.00)","(525.35,250.40,1.00)","(608.89,238.90,1.00)","(489.04,305.98,1.00)","(427.54,319.64,1.00)","(430.96,250.25,0.99)","(634.85,305.99,1.00)","(697.40,328.16,1.00)","(684.11,234.81,1.00)","(897.53,300.46,1.00)","(880.13,361.98,1.00)","(862.87,304.35,1.00)","(927.92,328.49,1.00)","(826.69,372.35,1.00)","(801.84,299.97,0.99)","(0.00,0.00,0.31)","(954.21,382.59,0.99)","(994.52,347.21,1.00)","(986.26,275.12,1.00)","(1225.71,308.90,1.00)","(1218.87,363.83,1.00)","(1185.05,330.58,1.00)","(1248.12,322.86,1.00)","(1149.61,361.32,1.00)","(1106.61,334.15,1.00)","(1152.44,298.52,0.93)","(1256.51,350.83,0.99)","(1253.98,314.27,0.97)","(1246.50,258.74,1.00)"
131,"(231.42,376.59,1.00)","(243.99,434.19,1.00)","(195.44,402.78,0.99)","(267.10,378.57,1.00)","(175.34,439.39,0.96)","(0.00,0.00,0.37)","(0.00,0.00,0.49)","(306.22,421.64,0.99)","(290.36,349.04,0.99)","(228.09,276.33,0.99)","(566.24,215.53,1.00)","(573.76,298.87,1.00)","(525.37,250.80,1.00)","(608.90,239.20,1.00)","(488.92,306.02,1.00)","(427.39,319.36,1.00)","(430.37,249.97,0.99)","(634.29,305.66,1.00)","(697.17,328.02,1.00)","(683.89,234.76,1.00)","(897.44,299.82,1.00)","(880.25,362.21,1.00)","(862.60,304.42,1.00)","(927.96,328.44,1.00)","(826.75,372.05,1.00)","(802.28,300.18,0.99)","(0.00,0.00,0.27)","(953.95,382.41,0.99)","(994.54,347.52,1.00)","(986.21,275.14,1.00)","(1225.66,308.73,1.00)","(1218.99,364.28,1.00)","(1184.94,330.72,1.00)","(1248.28,323.06,1.00)","(1149.66,361.54,1.00)","(1106.65,334.55,1.00)","(1152.34,298.58,0.93)","(1256.63,350.92,0.99)","(1254.07,314.29,0.97)","(1246.47,258.64,1.00)"
132,"(231.51,376.51,1.00)","(243.84,434.19,1.00)","(195.51,402.44,0.99)","(267.34,378.63,1.00)","(175.45,439.27,0.96)","(0.00,0.00,0.37)","(0.00,0.00,0.48)","(306.17,421.62,0.99)","(290.58,349.26,0.99)","(228.62,276.47,0.99)","(566.13,215.78,1.00)","(573.60,298.68,1.00)","(525.25,250.40,1.00)","(608.80,239.05,1.00)","(488.82,306.13,1.00)","(427.46,319.39,1.00)","(430.79,250.10,0.99)","(634.56,305.89,1.00)","(697.37,328.01,1.00)","(683.90,234.56,1.00)","(897.51,299.79,1.00)","(880.21,361.95,1.00)","(862.76,304.17,1.00)","(927.96,328.36,1.00)","(826.60,371.98,1.00)","(801.90,299.83,0.99)","(0.00,0.00,0.28)","(954.09,382.41,0.99)","(994.72,347.35,1.00)","(986.20,275.16,1.00)","(1225.60,308.76,1.00)","(1218.90,364.09,1.00)","(1184.92,330.42,1.00)","(1248.18,323.12,1.00)","(1149.46,361.04,1.00)","(1106.79,334.17,1.00)","(1152.45,298.62,0.94)","(1256.52,350.81,0.99)","(1254.05,314.22,0.97)","(1246.48,258.81,1.00)"
133,"(229.79,376.78,1.00)","(244.42,436.32,1.00)","(195.42,406.17,0.99)","(265.93,379.81,1.00)","(176.79,442.10,0.97)","(0.00,0.00,0.37)","(0.00,0.00,0.34)","(306.37,419.20,0.98)","(281.97,343.86,0.98)","(216.42,276.99,0.98)","(566.40,215.85,1.00)","(573.02,298.80,1.00)","(525.30,250.45,1.00)","(608.97,240.02,1.00)","(487.99,306.72,1.00)","(427.64,319.03,1.00)","(430.84,249.82,0.99)","(634.42,306.21,1.00)","(697.41,327.76,1.00)","(683.85,234.18,1.00)","(897.41,299.80,1.00)","(880.32,361.85,1.00)","(862.67,304.27,1.00)","(928.03,328.22,1.00)","(826.56,372.33,1.00)","(801.93,299.75,0.99)","(0.00,0.00,0.29)","(954.53,382.76,0.99)","(994.80,347.18,1.00)","(985.99,275.12,1.00)","(1225.66,309.08,1.00)","(1219.07,364.10,1.00)","(1184.93,330.68,1.00)","(1248.18,323.11,1.00)","(1149.44,361.46,1.00)","(1106.52,334.16,1.00)","(1152.28,298.57,0.93)","(1256.68,350.92,0.99)","(1254.11,314.24,0.97)","(1246.58,258.60,1.00)"
134,"(229.75,376.87,1.00)","(244.36,435.98,1.00)","(195.41,405.76,0.99)","(265.92,379.63,1.00)","(176.90,442.01,0.97)","(0.00,0.00,0.37)","(0.00,0.00,0.35)","(306.46,419.42,0.98)","(282.12,344.07,0.98)","(216.31,277.23,0.98)","(566.15,216.16,1.00)","(573.30,298.63,1.00)","(525.26,250.34,1.00)","(608.83,239.47,1.00)","(488.20,306.81,1.00)","(427.60,319.12,1.00)","(431.21,250.07,0.99)","(634.75,306.33,1.00)","(697.48,327.94,1.00)","(683.94,234.40,1.00)","(897.54,300.00,1.00)","(880.30,361.58,1.00)","(862.79,304.10,1.00)","(928.08,328.12,1.00)","(826.32,372.34,1.00)","(801.56,299.44,0.99)","(0.00,0.00,0.32)","(954.77,382.84,0.99)","(994.90,346.74,1.00)","(985.96,275.19,1.00)","(1225.67,309.02,1.00)","(1218.99,363.96,1.00)","(1184.98,330.43,1.00)","(1248.15,323.03,1.00)","(1149.25,361.22,1.00)","(1106.60,333.90,1.00)","(1152.48,298.57,0.94)","(1256.61,350.92,0.99)","(1254.05,314.19,0.97)","(1246.49,258.76,1.00)"
135,"(229.81,376.86,1.00)","(244.29,436.35,1.00)","(195.36,406.08,0.99)","(265.94,379.88,1.00)","(176.68,442.07,0.97)","(0.00,0.00,0.37)","(0.00,0.00,0.35)","(306.30,419.26,0.98)","(282.09,343.96,0.98)","(216.64,277.12,0.98)","(566.43,215.91,1.00)","(573.15,298.79,1.00)","(525.39,250.52,1.00)","(608.93,239.69,1.00)","(488.09,306.65,1.00)","(427.68,319.07,1.00)","(430.67,249.72,0.99)","(634.32,306.12,1.00)","(697.32,327.79,1.00)","(683.69,234.23,1.00)","(897.41,299.76,1.00)","(880.35,361.88,1.00)","(862.63,304.32,1.00)","(928.06,328.17,1.00)","(826.54,372.33,1.00)","(801.93,299.76,0.99)","(0.00,0.00,0.29)","(954.56,382.73,0.99)","(994.80,347.13,1.00)","(986.08,275.04,1.00)","(1225.69,309.08,1.00)","(1219.06,364.15,1.00)","(1184.96,330.74,1.00)","(1248.21,323.13,1.00)","(1149.54,361.47,1.00)","(1106.58,334.21,1.00)","(1152.26,298.57,0.93)","(1256.68,350.89,0.99)","(1254.11,314.26,0.97)","(1246.52,258.58,1.00)"
136,"(227.39,380.70,1.00)","(247.21,437.22,1.00)","(196.11,411.17,1.00)","(261.28,374.54,1.00)","(175.30,443.41,0.99)","(0.00,0.00,0.44)","(0.00,0.00,0.28)","(306.88,419.09,0.99)","(289.24,349.03,0.98)","(219.20,290.25,0.97)","(567.38,215.41,1.00)","(572.62,298.87,1.00)","(525.86,250.19,1.00)","(609.45,241.30,1.00)","(487.76,306.46,1.00)","(428.16,319.14,1.00)","(430.48,249.88,0.99)","(633.87,306.18,1.00)","(697.29,327.51,1.00)","(684.14,233.86,1.00)","(897.38,299.84,1.00)","(880.82,361.45,1.00)","(862.37,304.23,1.00)","(928.11,327.68,1.00)","(826.18,372.15,1.00)","(801.46,299.40,0.99)","(0.00,0.00,0.33)","(954.80,383.16,0.99)","(994.47,346.47,1.00)","(985.77,275.32,1.00)","(1225.76,308.76,1.00)","(1219.32,364.32,1.00)","(1185.19,330.96,1.00)","(1248.42,322.80,1.00)","(1149.89,361.33,1.00)","(1106.86,334.48,1.00)","(1152.32,298.44,0.94)","(1256.94,350.56,0.99)","(1254.36,314.13,0.97)","(1246.32,258.70,1.00)"
137,"(227.12,380.27,1.00)","(246.87,437.03,1.00)","(195.79,410.54,1.00)","(261.35,374.36,1.00)","(175.18,443.67,0.99)","(0.00,0.00,0.44)","(0.00,0.00,0.29)","(306.93,419.35,0.99)","(289.18,348.83,0.98)","(219.19,290.24,0.97)","(567.57,215.29,1.00)","(572.62,299.05,1.00)","(525.91,250.43,1.00)","(609.63,241.42,1.00)","(487.59,306.40,1.00)","(428.14,319.04,1.00)","(430.07,249.48,0.99)","(633.60,306.12,1.00)","(697.06,327.52,1.00)","(683.96,233.78,1.00)","(897.26,299.71,1.00)","(880.82,361.90,1.00)","(862.24,304.51,1.00)","(928.06,327.93,1.00)","(826.31,372.21,1.00)","(801.83,299.67,0.99)","(0.00,0.00,0.29)","(954.66,383.07,0.99)","(994.42,346.89,1.00)","(985.85,275.05,1.00)","(1225.65,308.87,1.00)","(1219.35,364.51,1.00)","(1185.08,331.31,1.00)","(1248.38,322.85,1.00)","(1150.22,361.69,1.00)","(1106.87,334.74,1.00)","(1152.01,298.39,0.92)","(1256.94,350.40,0.99)","(1254.36,314.01,0.97)","(1246.24,258.45,1.00)"
138,"(227.44,380.77,1.00)","(246.78,437.22,1.00)","(195.99,410.65,1.00)","(261.47,374.77,1.00)","(175.23,443.29,0.99)","(0.00,0.00,0.45)","(0.00,0.00,0.31)","(306.82,419.68,0.99)","(289.83,349.29,0.98)","(219.72,290.47,0.97)","(567.44,215.40,1.00)","(572.51,298.87,1.00)","(525.88,250.15,1.00)","(609.44,241.44,1.00)","(487.67,306.52,1.00)","(428.19,319.08,1.00)","(430.42,249.82,0.99)","(633.76,306.23,1.00)","(697.21,327.44,1.00)","(684.13,233.89,1.00)","(897.41,299.88,1.00)","(880.86,361.45,1.00)","(862.38,304.23,1.00)","(928.10,327.74,1.00)","(826.22,372.19,1.00)","(801.45,299.39,0.99)","(0.00,0.00,0.34)","(954.81,383.20,0.99)","(994.46,346.46,1.00)","(985.68,275.33,1.00)","(1225.74,308.79,1.00)","(1219.28,364.30,1.00)","(1185.18,330.93,1.00)","(1248.39,322.84,1.00)","(1149.82,361.27,1.00)","(1106.86,334.45,1.00)","(1152.32,298.49,0.94)","(1256.91,350.57,0.99)","(1254.34,314.11,0.97)","(1246.37,258.71,1.00)"
139,"(224.30,380.75,1.00)","(244.52,441.37,1.00)","(193.69,414.83,1.00)","(262.97,376.37,1.00)","(173.32,447.80,0.99)","(0.00,0.00,0.34)","(0.00,0.00,0.14)","(309.26,420.38,1.00)","(289.19,345.50,0.98)","(216.93,301.28,0.98)","(566.59,215.62,1.00)","(572.91,298.42,1.00)","(525.30,250.03,1.00)","(608.95,240.00,1.00)","(486.95,306.97,1.00)","(427.65,319.25,1.00)","(429.92,249.76,0.99)","(634.82,306.63,1.00)","(698.68,327.98,1.00)","(683.96,233.75,1.00)","(897.34,300.47,1.00)","(881.84,361.46,1.00)","(862.20,305.32,1.00)","(928.36,327.21,1.00)","(826.63,373.13,1.00)","(800.73,299.13,0.99)","(0.00,0.00,0.42)","(955.71,383.53,0.99)","(994.91,346.91,1.00)","(985.63,275.10,1.00)","(1225.54,309.94,1.00)","(1219.73,364.48,1.00)","(1185.05,331.48,1.00)","(1248.10,323.10,1.00)","(1148.97,362.70,1.00)","(1106.24,334.72,1.00)","(1152.31,299.32,0.94)","(1257.06,351.27,0.99)","(1253.95,314.30,0.97)","(1246.47,258.51,1.00)"
140,"(224.39,380.67,1.00)","(244.98,441.35,1.00)","(194.63,415.24,1.00)","(262.64,376.07,1.00)","(174.35,447.38,0.99)","(0.00,0.00,0.30)","(0.00,0.00,0.10)","(308.92,420.60,1.00)","(289.27,345.86,0.98)","(217.06,301.98,0.97)","(566.52,215.70,1.00)","(573.16,298.39,1.00)","(525.28,249.97,1.00)","(608.95,239.73,1.00)","(487.22,307.00,1.00)","(427.83,319.00,1.00)","(430.30,250.01,0.99)","(635.03,306.60,1.00)","(698.63,328.03,1.00)","(684.26,233.94,1.00)","(897.37,300.51,1.00)","(882.05,361.08,1.00)","(862.34,305.22,1.00)","(928.31,326.90,1.00)","(826.79,373.04,1.00)","(800.48,299.15,0.99)","(0.00,0.00,0.48)","(955.87,383.39,0.99)","(995.00,346.58,1.00)","(985.38,275.25,1.00)","(1225.56,311.09,1.00)","(1218.64,365.45,1.00)","(1184.44,332.24,1.00)","(1248.64,322.28,1.00)","(1148.92,362.78,1.00)","(1106.38,334.04,1.00)","(1150.96,297.25,0.86)","(1256.07,349.42,0.99)","(1253.30,312.76,0.97)","(1242.60,257.53,1.00)"
141,"(224.30,381.02,1.00)","(244.42,441.43,1.00)","(193.79,414.69,1.00)","(263.10,376.58,1.00)","(173.38,448.11,0.99)","(0.00,0.00,0.36)","(0.00,0.00,0.15)","(309.44,420.97,1.00)","(289.39,345.77,0.98)","(217.56,301.64,0.98)","(566.53,215.80,1.00)","(573.26,298.42,1.00)","(525.39,250.11,1.00)","(609.06,239.72,1.00)","(487.18,306.92,1.00)","(427.74,319.31,1.00)","(429.89,249.53,0.99)","(635.19,306.69,1.00)","(699.02,328.15,1.00)","(684.44,233.86,1.00)","(897.34,300.51,1.00)","(881.89,361.12,1.00)","(862.39,305.13,1.00)","(928.33,327.22,1.00)","(826.92,373.17,1.00)","(800.57,298.83,0.99)","(0.00,0.00,0.43)","(955.94,383.58,0.99)","(995.06,346.67,1.00)","(985.31,274.93,1.00)","(1225.67,309.97,1.00)","(1219.61,364.43,1.00)","(1185.00,331.26,1.00)","(1248.13,323.19,1.00)","(1148.73,362.58,1.00)","(1106.11,334.36,1.00)","(1152.35,299.21,0.94)","(1256.99,351.55,0.99)","(1253.90,314.45,0.97)","(1246.55,258.50,1.00)"
142,"(226.49,382.44,1.00)","(244.36,441.06,1.00)","(195.59,412.50,1.00)","(265.32,378.86,1.00)","(176.36,448.71,0.99)","(0.00,0.00,0.40)","(0.00,0.00,0.37)","(310.38,422.81,0.99)","(288.33,347.35,0.97)","(217.50,306.50,0.99)","(565.60,216.12,1.00)","(574.28,298.06,1.00)","(524.53,250.14,1.00)","(608.95,237.82,1.00)","(487.79,307.28,1.00)","(427.81,318.79,1.00)","(430.80,249.90,0.99)","(636.07,306.54,1.00)","(699.12,328.15,1.00)","(684.53,234.21,1.00)","(897.26,301.07,1.00)","(882.22,360.78,1.00)","(862.33,305.40,1.00)","(928.30,326.82,1.00)","(826.69,373.71,1.00)","(800.22,298.95,0.99)","(848.10,282.78,0.53)","(956.39,384.01,0.99)","(995.16,346.10,1.00)","(985.42,274.94,1.00)","(1225.43,311.55,1.00)","(1218.64,365.29,1.00)","(1184.32,332.22,1.00)","(1248.42,322.17,1.00)","(1148.23,363.07,1.00)","(1106.04,333.80,1.00)","(1151.20,297.26,0.88)","(1256.07,349.56,0.99)","(1253.09,312.44,0.97)","(1242.45,257.42,1.00)"
143,"(225.93,381.73,1.00)","(244.21,441.13,1.00)","(195.17,412.73,1.00)","(265.01,378.38,1.00)","(176.10,448.83,0.99)","(0.00,0.00,0.47)","(0.00,0.00,0.45)","(310.37,422.38,0.99)","(288.27,346.92,0.97)","(217.98,306.89,0.98)","(565.33,215.81,1.00)","(574.65,297.86,1.00)","(524.41,250.42,1.00)","(608.88,237.15,1.00)","(487.63,307.09,1.00)","(427.66,319.08,1.00)","(430.37,249.97,0.98)","(636.22,306.34,1.00)","(699.10,328.05,1.00)","(684.66,234.51,1.00)","(897.44,301.40,1.00)","(882.47,361.06,1.00)","(862.27,305.76,1.00)","(928.66,327.00,1.00)","(827.08,374.14,1.00)","(800.72,298.91,0.99)","(848.64,282.82,0.52)","(956.89,384.53,0.99)","(995.18,345.92,1.00)","(985.74,274.78,1.00)","(1225.38,312.02,1.00)","(1218.84,365.67,1.00)","(1184.06,332.47,1.00)","(1248.38,322.28,1.00)","(1147.48,363.83,1.00)","(1105.64,333.99,1.00)","(1150.73,297.45,0.89)","(1256.07,350.36,0.99)","(1252.92,312.73,0.97)","(1242.56,257.39,1.00)"
144,"(226.24,381.69,1.00)","(243.95,441.18,1.00)","(195.06,412.36,1.00)","(265.51,378.83,1.00)","(176.28,448.78,0.99)","(0.00,0.00,0.42)","(0.00,0.00,0.37)","(310.47,421.77,0.99)","(287.82,346.57,0.97)","(217.22,306.34,0.98)","(565.38,215.70,1.00)","(574.32,298.15,1.00)","(524.34,250.30,1.00)","(608.77,237.56,1.00)","(487.78,307.31,1.00)","(427.68,318.90,1.00)","(430.08,249.75,0.99)","(636.01,306.19,1.00)","(699.21,327.97,1.00)","(684.23,234.16,1.00)","(897.51,301.20,1.00)","(882.10,360.95,1.00)","(862.42,305.37,1.00)","(928.49,327.38,1.00)","(826.69,373.62,1.00)","(800.53,298.74,0.99)","(848.54,282.75,0.52)","(956.46,384.33,0.99)","(995.04,345.98,1.00)","(985.65,274.94,1.00)","(1225.52,311.53,1.00)","(1218.65,365.43,1.00)","(1184.23,332.17,1.00)","(1248.49,322.30,1.00)","(1147.86,363.15,1.00)","(1105.87,333.68,1.00)","(1151.23,297.24,0.88)","(1256.07,350.08,0.99)","(1253.03,312.76,0.97)","(1242.63,257.45,1.00)"
145,"(228.73,381.67,1.00)","(244.83,440.38,1.00)","(197.13,409.23,1.00)","(268.06,380.20,1.00)","(178.35,447.74,0.99)","(0.00,0.00,0.44)","(199.12,332.37,0.58)","(310.52,424.98,0.98)","(288.15,350.58,0.95)","(222.91,307.62,0.99)","(565.66,216.62,1.00)","(574.70,297.83,1.00)","(524.38,249.68,1.00)","(609.06,237.21,1.00)","(487.38,307.93,1.00)","(427.56,318.77,0.99)","(431.15,249.51,0.98)","(636.96,307.38,1.00)","(699.56,328.27,1.00)","(684.06,234.25,1.00)","(897.13,302.05,1.00)","(882.36,361.02,1.00)","(862.17,306.07,1.00)","(928.49,327.12,1.00)","(827.06,374.57,1.00)","(800.57,298.77,0.99)","(848.70,283.09,0.54)","(957.21,384.53,0.99)","(995.36,345.52,1.00)","(985.38,274.49,1.00)","(1225.24,311.93,1.00)","(1218.82,365.13,1.00)","(1184.02,331.91,1.00)","(1248.26,322.23,1.00)","(1147.25,363.70,1.00)","(1105.06,333.76,1.00)","(1150.61,297.66,0.89)","(1255.94,350.32,0.99)","(1252.76,312.80,0.97)","(1242.56,257.49,1.00)"
146,"(228.87,381.70,1.00)","(244.87,440.43,1.00)","(197.46,409.56,1.00)","(267.96,380.42,1.00)","(178.32,447.71,0.98)","(0.00,0.00,0.43)","(199.03,332.63,0.57)","(310.65,425.00,0.98)","(288.29,350.75,0.94)","(222.62,307.63,0.99)","(565.82,216.45,1.00)","(574.19,297.82,1.00)","(524.39,249.27,1.00)","(609.12,237.99,1.00)","(486.98,308.25,1.00)","(427.38,318.72,0.99)","(430.84,249.85,0.98)","(636.58,307.36,1.00)","(699.44,328.03,1.00)","(683.96,234.04,1.00)","(897.25,301.68,1.00)","(882.35,360.87,1.00)","(862.20,305.86,1.00)","(928.50,326.98,1.00)","(826.79,373.92,1.00)","(800.24,298.57,0.99)","(848.53,282.91,0.56)","(957.06,384.24,0.99)","(995.35,345.56,1.00)","(985.52,274.63,1.00)","(1225.35,311.73,1.00)","(1218.60,365.09,1.00)","(1184.10,331.82,1.00)","(1248.32,322.24,1.00)","(1147.23,363.27,1.00)","(1105.10,333.20,1.00)","(1150.92,297.30,0.88)","(1255.94,350.29,0.99)","(1252.78,312.87,0.97)","(1242.59,257.54,1.00)"
147,"(228.67,381.66,1.00)","(244.80,440.38,1.00)","(197.16,409.24,1.00)","(267.98,380.16,1.00)","(178.31,447.78,0.99)","(0.00,0.00,0.45)","(199.27,332.25,0.59)","(310.53,425.12,0.98)","(288.22,350.59,0.95)","(223.02,307.74,0.99)","(565.85,216.65,1.00)","(574.34,297.80,1.00)","(524.56,249.55,1.00)","(609.11,237.92,1.00)","(487.02,308.25,1.00)","(427.53,318.87,0.99)","(431.11,249.75,0.98)","(636.68,307.44,1.00)","(699.43,328.15,1.00)","(684.16,234.23,1.00)","(897.28,302.07,1.00)","(882.50,361.04,1.00)","(862.11,306.24,1.00)","(928.63,326.98,1.00)","(827.16,374.82,1.00)","(800.54,299.02,0.99)","(848.79,283.36,0.56)","(957.23,384.55,0.99)","(995.31,345.57,1.00)","(985.53,274.56,1.00)","(1225.45,310.88,1.00)","(1219.61,363.90,1.00)","(1184.69,330.90,1.00)","(1247.63,323.01,1.00)","(1147.02,363.08,1.00)","(1104.97,333.46,1.00)","(1152.36,299.42,0.96)","(1256.82,352.08,0.99)","(1253.28,314.37,0.97)","(1246.48,258.53,1.00)"
148,"(236.09,384.25,1.00)","(248.09,441.12,1.00)","(203.77,408.81,1.00)","(273.65,382.46,1.00)","(184.53,450.43,0.98)","(0.00,0.00,0.46)","(195.38,336.98,0.66)","(312.84,426.60,0.98)","(282.46,350.38,0.96)","(224.59,303.90,0.96)","(565.83,216.65,1.00)","(574.39,297.66,1.00)","(524.55,249.20,1.00)","(609.16,237.79,1.00)","(487.09,308.43,1.00)","(427.74,318.55,0.99)","(430.73,249.47,0.99)","(636.53,307.51,1.00)","(699.43,327.92,1.00)","(684.06,234.08,1.00)","(897.32,301.98,1.00)","(882.43,360.81,1.00)","(862.36,305.82,1.00)","(928.43,327.27,1.00)","(826.85,374.10,1.00)","(800.13,298.56,0.99)","(848.56,283.08,0.58)","(956.94,384.52,0.99)","(995.27,345.51,1.00)","(985.49,274.64,1.00)","(1225.38,311.64,1.00)","(1218.39,365.36,1.00)","(1183.98,331.86,1.00)","(1248.34,322.31,1.00)","(1147.33,363.29,1.00)","(1105.31,333.34,1.00)","(1151.03,297.32,0.88)","(1255.95,350.48,0.99)","(1252.84,312.90,0.97)","(1242.53,257.53,1.00)"
