Frame,Person1_head,Person1_neck,Person1_left_ear,Person1_right_ear,Person1_left_shoulder,Person1_left_elbow,Person1_left_hand,Person1_right_shoulder,Person1_right_elbow,Person1_right_hand,Person2_head,Person2_neck,Person2_left_ear,Person2_right_ear,Person2_left_shoulder,Person2_left_elbow,Person2_left_hand,Person2_right_shoulder,Person2_right_elbow,Person2_right_hand,Person3_head,Person3_neck,Person3_left_ear,Person3_right_ear,Person3_left_shoulder,Person3_left_elbow,Person3_left_hand,Person3_right_shoulder,Person3_right_elbow,Person3_right_hand,Person4_head,Person4_neck,Person4_left_ear,Person4_right_ear,Person4_left_shoulder,Person4_left_elbow,Person4_left_hand,Person4_right_shoulder,Person4_right_elbow,Person4_right_hand
10,"(211.54,293.23,1.00)","(212.83,365.67,1.00)","(176.45,315.27,0.99)","(255.47,319.46,1.00)","(153.59,376.93,0.96)","(0.00,0.00,0.07)","(0.00,0.00,0.00)","(292.54,380.67,1.00)","(350.23,364.67,1.00)","(354.19,282.11,0.99)","(565.34,215.33,1.00)","(574.56,296.31,1.00)","(524.67,248.16,1.00)","(609.49,238.36,1.00)","(490.26,306.48,1.00)","(427.10,320.70,0.99)","(441.57,252.51,0.93)","(636.70,306.09,1.00)","(696.82,327.33,1.00)","(683.30,233.47,1.00)","(918.47,330.01,1.00)","(900.11,378.37,1.00)","(880.50,327.23,1.00)","(946.32,343.86,1.00)","(842.89,380.59,0.99)","(814.89,307.07,0.99)","(861.22,295.62,0.75)","(968.24,389.52,0.99)","(994.52,343.73,1.00)","(981.12,276.43,1.00)","(1223.92,310.55,1.00)","(1218.76,365.67,1.00)","(1184.37,331.97,1.00)","(1247.93,323.07,1.00)","(1150.64,361.73,1.00)","(1106.96,336.44,1.00)","(1151.92,299.08,0.90)","(1255.48,348.66,0.99)","(1253.43,311.97,0.97)","(1241.73,257.87,1.00)"
11,"(211.54,293.78,1.00)","(213.11,366.17,1.00)","(176.23,315.95,0.99)","(255.73,320.16,1.00)","(153.73,377.15,0.96)","(0.00,0.00,0.07)","(0.00,0.00,0.00)","(292.93,381.29,1.00)","(349.91,364.37,1.00)","(354.62,282.30,0.99)","(564.99,215.24,1.00)","(574.25,296.32,1.00)","(524.36,248.31,1.00)","(609.25,238.47,1.00)","(490.06,306.52,1.00)","(427.56,320.54,0.99)","(440.62,253.49,0.92)","(636.21,305.79,1.00)","(696.26,327.15,1.00)","(683.22,233.18,1.00)","(918.75,329.56,1.00)","(899.95,378.19,1.00)","(880.79,326.72,1.00)","(946.61,344.38,1.00)","(843.52,380.29,0.99)","(815.09,307.27,0.99)","(861.70,295.59,0.79)","(968.22,390.06,0.99)","(994.56,343.85,1.00)","(981.19,276.53,1.00)","(1223.86,310.35,1.00)","(1218.76,365.89,1.00)","(1184.29,331.90,1.00)","(1248.13,323.33,1.00)","(1150.81,361.53,1.00)","(1106.79,336.32,1.00)","(1151.70,299.10,0.90)","(1255.57,348.62,0.99)","(1253.45,311.98,0.97)","(1241.71,257.96,1.00)"
12,"(211.64,293.90,1.00)","(213.15,365.88,1.00)","(176.36,315.75,0.99)","(255.78,319.78,1.00)","(153.65,376.87,0.96)","(0.00,0.00,0.07)","(0.00,0.00,0.00)","(292.75,381.34,1.00)","(350.21,364.62,1.00)","(354.90,282.53,0.99)","(564.92,215.44,1.00)","(574.09,296.17,1.00)","(524.18,247.91,1.00)","(609.17,238.36,1.00)","(489.53,307.04,1.00)","(427.18,320.81,0.99)","(440.72,253.67,0.92)","(636.30,305.85,1.00)","(696.52,327.01,1.00)","(683.19,232.99,1.00)","(919.27,330.34,1.00)","(901.50,378.59,1.00)","(880.69,328.21,1.00)","(947.30,343.41,1.00)","(843.73,381.01,0.99)","(814.50,307.40,0.99)","(861.31,296.22,0.82)","(969.17,389.40,0.99)","(994.94,343.29,1.00)","(981.00,276.61,1.00)","(1223.86,310.81,1.00)","(1218.74,365.84,1.00)","(1184.21,332.01,1.00)","(1247.93,323.17,1.00)","(1150.06,362.10,1.00)","(1106.50,336.29,1.00)","(1151.98,299.31,0.91)","(1255.56,348.98,0.99)","(1253.33,311.88,0.97)","(1241.67,257.86,1.00)"
13,"(212.78,293.80,1.00)","(212.49,364.66,1.00)","(177.50,315.12,0.99)","(255.43,319.90,1.00)","(154.81,376.13,0.95)","(0.00,0.00,0.06)","(0.00,0.00,0.00)","(291.35,380.61,1.00)","(349.99,366.40,1.00)","(355.98,283.91,0.99)","(565.05,214.87,1.00)","(574.44,296.87,1.00)","(524.06,248.31,1.00)","(609.17,238.95,1.00)","(491.24,306.35,1.00)","(428.02,320.04,0.99)","(441.18,254.19,0.91)","(636.34,305.52,1.00)","(695.84,327.06,1.00)","(683.80,233.80,1.00)","(913.01,325.77,1.00)","(895.68,376.95,1.00)","(875.11,325.41,1.00)","(942.29,342.23,1.00)","(840.47,378.86,0.99)","(814.47,303.76,0.98)","(0.00,0.00,0.44)","(965.46,390.42,0.99)","(994.44,343.68,1.00)","(980.52,276.64,1.00)","(1223.68,310.21,1.00)","(1218.62,365.69,1.00)","(1184.22,331.89,1.00)","(1247.89,323.11,1.00)","(1150.82,361.29,1.00)","(1107.08,336.31,1.00)","(1151.80,299.08,0.90)","(1255.47,348.43,0.99)","(1253.45,311.72,0.97)","(1241.59,257.95,1.00)"
14,"(212.82,293.79,1.00)","(212.47,364.57,1.00)","(177.68,315.08,0.99)","(255.24,319.60,1.00)","(154.79,376.25,0.95)","(0.00,0.00,0.06)","(0.00,0.00,0.00)","(291.07,380.64,1.00)","(350.06,366.39,1.00)","(355.85,283.91,0.99)","(565.11,214.50,1.00)","(574.19,296.94,1.00)","(524.22,248.44,1.00)","(609.19,239.31,1.00)","(490.86,306.36,1.00)","(428.02,320.09,0.99)","(440.51,253.52,0.92)","(636.07,305.30,1.00)","(695.75,326.97,1.00)","(683.83,233.67,1.00)","(913.13,325.66,1.00)","(895.39,377.12,1.00)","(875.05,325.24,1.00)","(942.33,342.43,1.00)","(840.34,378.69,0.99)","(814.33,303.86,0.98)","(0.00,0.00,0.48)","(965.29,390.94,0.99)","(994.45,344.06,1.00)","(980.80,276.74,1.00)","(1223.64,310.08,1.00)","(1218.58,365.81,1.00)","(1184.22,331.91,1.00)","(1247.86,323.06,1.00)","(1150.74,361.33,1.00)","(1106.98,336.40,1.00)","(1151.93,299.06,0.90)","(1255.45,348.42,0.99)","(1253.45,311.66,0.97)","(1241.60,257.93,1.00)"
15,"(212.67,293.84,1.00)","(212.55,364.72,1.00)","(177.59,315.28,0.99)","(255.26,319.77,1.00)","(154.88,376.03,0.95)","(0.00,0.00,0.06)","(0.00,0.00,0.00)","(291.22,380.55,1.00)","(350.18,366.45,1.00)","(355.99,283.93,0.99)","(565.15,214.36,1.00)","(574.30,296.99,1.00)","(524.11,248.57,1.00)","(609.35,239.45,1.00)","(491.10,306.31,1.00)","(428.06,320.10,0.99)","(441.29,254.11,0.91)","(636.30,305.48,1.00)","(695.85,327.09,1.00)","(684.12,233.52,1.00)","(912.95,325.50,1.00)","(895.41,376.98,1.00)","(875.10,325.16,1.00)","(942.21,342.35,1.00)","(840.56,379.03,0.99)","(814.42,303.88,0.98)","(0.00,0.00,0.44)","(965.23,390.74,0.99)","(994.56,343.98,1.00)","(980.47,276.88,1.00)","(1223.75,309.96,1.00)","(1218.65,365.76,1.00)","(1184.39,331.87,1.00)","(1248.01,323.15,1.00)","(1150.81,361.17,1.00)","(1107.04,336.54,1.00)","(1151.63,298.94,0.89)","(1255.46,348.38,0.99)","(1253.44,311.90,0.97)","(1241.63,258.03,1.00)"
16,"(210.82,294.56,1.00)","(212.83,366.26,1.00)","(176.24,316.13,0.99)","(254.57,319.95,1.00)","(153.78,377.20,0.96)","(0.00,0.00,0.09)","(0.00,0.00,0.00)","(291.82,379.66,1.00)","(350.23,366.25,1.00)","(354.31,283.46,0.99)","(565.36,214.78,1.00)","(573.84,296.76,1.00)","(524.24,248.57,1.00)","(609.29,239.39,1.00)","(490.40,306.89,1.00)","(427.71,320.33,0.99)","(441.11,254.29,0.92)","(635.86,305.23,1.00)","(695.87,327.14,1.00)","(683.30,233.63,1.00)","(911.92,323.07,1.00)","(890.98,375.84,1.00)","(871.52,320.53,1.00)","(941.30,342.10,1.00)","(835.33,376.97,0.99)","(811.87,305.32,0.96)","(859.92,289.96,0.53)","(964.77,390.55,0.99)","(996.52,344.79,1.00)","(983.12,278.61,1.00)","(1223.92,310.19,1.00)","(1218.99,365.86,1.00)","(1184.48,331.93,1.00)","(1248.17,323.04,1.00)","(1150.52,361.41,1.00)","(1106.62,336.62,1.00)","(1151.64,299.00,0.90)","(1255.71,348.50,0.99)","(1253.49,311.84,0.97)","(1241.74,257.96,1.00)"
17,"(210.87,294.59,1.00)","(213.00,366.41,1.00)","(176.34,316.31,0.99)","(254.75,320.28,1.00)","(154.05,377.09,0.96)","(0.00,0.00,0.09)","(0.00,0.00,0.00)","(292.07,379.43,1.00)","(350.55,366.55,1.00)","(354.55,283.44,0.99)","(565.22,214.79,1.00)","(574.04,296.70,1.00)","(524.28,248.71,1.00)","(609.10,239.08,1.00)","(490.69,306.73,1.00)","(427.66,320.33,0.99)","(441.61,254.46,0.91)","(635.86,305.12,1.00)","(695.87,327.03,1.00)","(683.08,233.56,1.00)","(912.17,323.50,1.00)","(890.90,375.89,1.00)","(871.90,320.78,1.00)","(941.55,342.36,1.00)","(835.42,377.10,0.99)","(811.67,305.36,0.95)","(859.64,289.98,0.53)","(964.97,390.41,0.99)","(996.54,344.49,1.00)","(983.29,278.56,1.00)","(1223.93,310.21,1.00)","(1218.95,365.88,1.00)","(1184.46,331.92,1.00)","(1248.23,323.12,1.00)","(1150.53,361.45,1.00)","(1106.58,336.68,1.00)","(1151.80,299.05,0.92)","(1255.76,348.57,0.99)","(1253.44,311.76,0.97)","(1241.65,257.97,1.00)"
18,"(210.74,294.31,1.00)","(212.99,366.21,1.00)","(176.14,316.20,0.99)","(254.53,319.74,1.00)","(153.96,377.02,0.96)","(0.00,0.00,0.09)","(0.00,0.00,0.00)","(291.84,379.59,1.00)","(350.34,366.46,1.00)","(354.45,283.57,0.99)","(565.36,214.73,1.00)","(573.76,296.65,1.00)","(524.37,248.42,1.00)","(609.27,239.49,1.00)","(490.23,306.76,1.00)","(427.71,320.35,0.99)","(440.76,253.98,0.92)","(635.69,305.09,1.00)","(695.74,326.93,1.00)","(683.38,233.53,1.00)","(912.22,323.71,1.00)","(891.50,376.09,1.00)","(871.76,321.41,1.00)","(941.71,342.09,1.00)","(835.70,377.28,0.99)","(811.66,305.40,0.96)","(859.64,290.02,0.55)","(965.07,390.24,0.99)","(996.59,344.43,1.00)","(983.09,278.49,1.00)","(1223.91,310.25,1.00)","(1219.06,366.01,1.00)","(1184.50,332.05,1.00)","(1248.20,323.10,1.00)","(1150.59,361.49,1.00)","(1106.54,336.67,1.00)","(1151.72,298.92,0.91)","(1255.79,348.57,0.99)","(1253.44,311.74,0.97)","(1241.63,257.85,1.00)"
19,"(211.83,293.76,1.00)","(212.31,365.14,1.00)","(176.45,314.81,0.99)","(255.27,319.23,1.00)","(152.88,375.80,0.95)","(0.00,0.00,0.07)","(0.00,0.00,0.00)","(290.47,380.27,1.00)","(349.10,365.05,1.00)","(353.94,283.42,0.99)","(565.78,215.64,1.00)","(574.08,296.54,1.00)","(524.94,248.50,1.00)","(609.39,238.58,1.00)","(489.39,306.88,1.00)","(428.02,320.29,0.99)","(439.95,253.16,0.94)","(636.43,306.04,1.00)","(696.55,327.48,1.00)","(684.32,233.91,1.00)","(907.96,321.68,1.00)","(888.62,373.37,1.00)","(870.91,319.90,1.00)","(936.85,341.09,1.00)","(834.15,377.32,0.99)","(808.43,301.74,0.99)","(0.00,0.00,0.49)","(960.64,390.39,0.99)","(993.68,344.83,1.00)","(981.39,276.64,1.00)","(1223.86,311.17,1.00)","(1218.77,366.65,1.00)","(1184.15,332.94,1.00)","(1248.01,323.36,1.00)","(1149.86,363.11,1.00)","(1106.59,336.39,1.00)","(1151.61,298.85,0.91)","(1255.77,350.12,0.99)","(1253.30,312.50,0.98)","(1241.65,257.72,1.00)"
