Frame 0, Person 0:
  Keypoint 7: (x=270.88, y=381.37, confidence=1.00)
  Keypoint 8: (x=332.04, y=427.44, confidence=1.00)
  Keypoint 9: (x=329.61, y=310.75, confidence=1.00)
Frame 5, Person 1:
  Keypoint 0: (x=883.45, y=267.04, confidence=1.00)
  Keypoint 1: (x=884.28, y=361.31, confidence=1.00)
  Keypoint 2: (x=843.49, y=318.01, confidence=1.00)
  Keypoint 3: (x=924.27, y=321.27, confidence=1.00)
  Keypoint 4: (x=813.85, y=361.43, confidence=1.00)
  Keypoint 5: (x=767.89, y=368.45, confidence=1.00)
  Keypoint 6: (x=822.74, y=312.70, confidence=1.00)
  Keypoint 7: (x=928.32, y=368.35, confidence=1.00)
  Keypoint 8: (x=956.65, y=391.41, confidence=0.99)
  Keypoint 9: (x=962.38, y=304.22, confidence=1.00)
Frame 5, Person 2:
  Keypoint 0: (x=589.87, y=274.30, confidence=1.00)
  Keypoint 1: (x=596.10, y=374.15, confidence=1.00)
  Keypoint 2: (x=557.17, y=330.08, confidence=1.00)
  Keypoint 3: (x=634.75, y=318.68, confidence=1.00)
  Keypoint 4: (x=518.10, y=374.49, confidence=1.00)
  Keypoint 5: (x=437.14, y=394.58, confidence=1.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 7: (x=654.48, y=380.31, confidence=1.00)
  Keypoint 8: (x=707.20, y=359.21, confidence=1.00)
  Keypoint 9: (x=673.84, y=269.88, confidence=1.00)
Frame 5, Person 3:
  Keypoint 0: (x=1227.73, y=241.67, confidence=0.99)
  Keypoint 1: (x=1223.14, y=325.44, confidence=1.00)
  Keypoint 2: (x=1182.98, y=283.95, confidence=1.00)
  Keypoint 3: (x=1262.66, y=296.22, confidence=0.99)
  Keypoint 4: (x=1132.67, y=320.64, confidence=0.99)
  Keypoint 5: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.01)
  Keypoint 7: (x=1246.77, y=339.83, confidence=0.99)
  Keypoint 8: (x=0.00, y=0.00, confidence=0.02)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
Frame 6, Person 0:
  Keypoint 0: (x=181.35, y=273.84, confidence=1.00)
  Keypoint 1: (x=193.37, y=373.17, confidence=1.00)
  Keypoint 2: (x=151.30, y=337.57, confidence=1.00)
  Keypoint 3: (x=228.81, y=323.29, confidence=1.00)
  Keypoint 4: (x=147.61, y=384.67, confidence=1.00)
